error,delta_error,delta_pwm
-15.6500,0.0000,3052
-15.6500,0.0000,3052
-15.6500,0.0000,3052
-15.6500,0.0000,3052
-15.6400,0.1277,2961
-15.6400,0.0511,3015
-15.6500,-0.1072,3051
-15.6500,-0.0429,3052
-15.9200,-3.4640,3052
-16.1800,-4.7047,3029
-16.4400,-4.3980,3040
-16.4400,-1.7592,2994
-16.4400,-0.7037,3002
-16.1900,2.9100,1400
-15.9300,4.4832,1284
-15.6700,4.3094,1326
-15.6700,1.7238,1400
-15.6700,0.6895,2532
-15.6700,0.2758,2859
-15.6600,0.2380,2885
-15.6600,0.0952,2984
-15.6500,0.1657,2935
-15.6600,-0.0614,3052
-15.6700,-0.1522,3050
-15.6700,-0.0609,3052
-15.6700,-0.0244,3052
-15.6700,-0.0097,3052
-15.9300,-3.3230,3051
-16.1900,-4.6484,3031
-16.6300,-7.4764,3034
-16.8100,-4.7325,3028
-16.9900,-4.1909,3045
-16.9900,-1.6763,2986
-16.9900,-0.6705,3008
-16.9900,-0.2682,3046
-16.8100,1.6346,1400
-16.6400,2.8241,1400
-16.4600,3.4275,1400
-16.4500,1.4987,1402
-16.4500,0.5995,2614
-16.1900,2.7559,1400
-15.9300,4.4215,1299
-15.6700,5.0878,1129
-15.6700,2.0351,1400
-15.6700,0.8140,2403
-15.9200,-2.0937,3019
-16.1700,-4.0290,3048
-16.4300,-4.9307,3017
-16.2700,0.0703,3001
-16.1100,2.0707,1400
-15.9500,2.3766,1400
-15.9300,1.2060,1882
-16.0100,-0.5389,3026
-16.0900,-1.2368,2941
-16.1900,-1.7713,2995
-16.1900,-0.7085,3001
-16.1900,-0.2834,3046
-16.1524,0.3666,2794
-15.9348,2.9245,1400
-15.7432,3.6158,1400
-15.5732,3.0915,1400
-15.5732,1.2366,1834
-15.5732,0.4946,2699
-15.5732,0.1979,2913
-15.3932,2.3770,1400
-15.3932,0.9508,2242
-15.3032,1.5293,1400
-15.3932,-0.5372,3027
-15.3032,0.9340,2262
-15.3032,0.3736,2789
-15.3032,0.1494,2946
-15.2032,1.3364,1675
-15.1132,1.6835,1400
-15.0232,1.8223,1400
-14.9532,1.6225,1400
-14.8732,1.4232,1531
-14.7932,1.5906,1400
-14.7032,1.7852,1400
-14.7032,0.7141,2508
-14.6032,1.5622,1400
-14.5132,1.4959,1407
-13.9832,7.3643,0
-13.5432,8.5627,0
-13.0932,9.1698,0
-12.8332,6.9871,17
-12.4732,6.2787,651
-12.2232,5.7030,932
-11.9232,6.1110,746
-11.7232,4.9976,1154
-11.5132,4.6799,1236
-11.5132,1.8720,1400
-11.4132,2.0254,1400
-11.2232,3.2357,1400
-11.0332,3.7198,1400
-11.1232,0.3390,2814
-11.0332,1.0066,2169
-10.9332,1.6792,1400
-10.6332,4.5015,1279
-10.6332,1.8006,1400
-10.6332,0.7202,2502
-10.6332,0.2881,2850
-10.6332,0.1152,2970
-10.6332,0.0461,3019
-10.6332,0.0184,3039
-10.7332,-1.2692,2945
-10.9332,-2.4432,3035
-11.1332,-3.5305,3052
-11.0332,-0.1356,3050
-10.8332,2.4990,1400
-10.6332,3.5528,1400
-10.6332,1.4211,1534
-10.3432,4.2706,1335
-10.2432,2.9848,1400
-10.1532,2.3429,1400
